epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,884.657,0.92124,0.59083,0.91761,0.83719,0.79562,0.81975,0.65346,0.815,0.50542,0.66498,0.0005941,0.0005941,0.0005941
43,905.266,1.00328,0.63571,0.95924,0.85458,0.81395,0.85289,0.68513,0.71884,0.71571,0.66595,0.0005842,0.0005842,0.0005842
44,925.924,0.90599,0.60764,0.9422,0.81213,0.84243,0.85313,0.69039,0.73946,0.47461,0.66314,0.0005743,0.0005743,0.0005743
45,947.157,0.95618,0.62514,0.95033,0.78057,0.83809,0.80659,0.62542,0.737,0.48592,0.66473,0.0005644,0.0005644,0.0005644
46,968.872,0.92041,0.60591,0.92763,0.87453,0.81117,0.85074,0.66889,0.71179,0.60956,0.65809,0.0005545,0.0005545,0.0005545
47,988.952,0.90213,0.59165,0.93622,0.83241,0.84153,0.84444,0.64865,0.75369,0.57016,0.66242,0.0005446,0.0005446,0.0005446
48,1009.43,0.92377,0.63574,0.94039,0.85114,0.79602,0.81423,0.65696,0.72333,0.48754,0.6578,0.0005347,0.0005347,0.0005347
49,1030.04,0.93077,0.58539,0.92245,0.89331,0.82932,0.85793,0.67564,0.72614,1.10231,0.65737,0.0005248,0.0005248,0.0005248
50,1051.09,0.83347,0.563,0.90273,0.88305,0.84551,0.87305,0.69356,0.7187,0.76852,0.66397,0.0005149,0.0005149,0.0005149
51,1072.61,0.87438,0.5545,0.91658,0.82212,0.83136,0.84557,0.66846,0.73364,0.5287,0.65787,0.000505,0.000505,0.000505
52,1097.96,0.85215,0.55298,0.90559,0.8114,0.84826,0.83781,0.66817,0.72018,0.48932,0.64865,0.0004951,0.0004951,0.0004951
53,1119.18,0.86355,0.57205,0.9196,0.93429,0.78742,0.84765,0.68247,0.70041,0.50626,0.65117,0.0004852,0.0004852,0.0004852
54,1140.31,0.89997,0.56648,0.91506,0.8849,0.79684,0.84004,0.68237,0.66218,0.51722,0.65848,0.0004753,0.0004753,0.0004753
55,1161.83,0.85372,0.55003,0.90907,0.88315,0.83449,0.87377,0.71314,0.67292,0.4843,0.65701,0.0004654,0.0004654,0.0004654
56,1183.55,0.812,0.53836,0.90551,0.81579,0.85956,0.8235,0.66388,0.67553,0.47968,0.6473,0.0004555,0.0004555,0.0004555
57,1205.43,0.84414,0.5504,0.91712,0.89188,0.79649,0.83357,0.6791,0.68227,0.5103,0.64451,0.0004456,0.0004456,0.0004456
58,1226.72,0.79643,0.5223,0.90791,0.91505,0.8394,0.8688,0.72146,0.67038,0.46611,0.64478,0.0004357,0.0004357,0.0004357
59,1247.83,0.83376,0.53568,0.91177,0.96427,0.79837,0.86756,0.7359,0.64592,0.41353,0.63901,0.0004258,0.0004258,0.0004258
60,1269.31,0.85235,0.54779,0.92968,0.84826,0.87369,0.85369,0.69552,0.65472,0.6292,0.63843,0.0004159,0.0004159,0.0004159
61,1291.1,0.8074,0.53332,0.89942,0.91144,0.84063,0.87872,0.72198,0.66979,0.45935,0.63639,0.000406,0.000406,0.000406
62,1313.81,0.80663,0.51639,0.9028,0.94874,0.84532,0.88995,0.73019,0.64477,0.43395,0.6353,0.0003961,0.0003961,0.0003961
63,1333.56,0.76688,0.50975,0.88567,0.90414,0.8047,0.82738,0.69515,0.65704,0.4441,0.64479,0.0003862,0.0003862,0.0003862
64,1354.08,0.82844,0.52312,0.89444,0.81429,0.84368,0.82527,0.6867,0.63109,0.43181,0.63282,0.0003763,0.0003763,0.0003763
65,1374.06,0.7774,0.49914,0.8972,0.88564,0.86061,0.88662,0.73563,0.62453,0.42324,0.64184,0.0003664,0.0003664,0.0003664
66,1394.37,0.78,0.50758,0.90264,0.88996,0.86611,0.88042,0.74721,0.61735,0.42951,0.63226,0.0003565,0.0003565,0.0003565
67,1416.53,0.80619,0.52103,0.89936,0.91242,0.85535,0.88837,0.73881,0.60129,0.50406,0.6302,0.0003466,0.0003466,0.0003466
68,1438.97,0.78013,0.51342,0.89425,0.8886,0.86037,0.88,0.74321,0.60137,0.41156,0.62742,0.0003367,0.0003367,0.0003367
69,1461.64,0.77232,0.50173,0.90036,0.9566,0.85142,0.88877,0.73832,0.64106,0.45737,0.62569,0.0003268,0.0003268,0.0003268
70,1481.78,0.75098,0.50109,0.88394,0.93527,0.85792,0.8983,0.74489,0.62984,0.44091,0.62757,0.0003169,0.0003169,0.0003169
71,1502.87,0.74347,0.49021,0.88604,0.96897,0.85387,0.90168,0.75527,0.61498,0.46651,0.62767,0.000307,0.000307,0.000307
72,1523.76,0.75474,0.49008,0.89135,0.94633,0.83629,0.88069,0.74673,0.638,0.39392,0.62623,0.0002971,0.0002971,0.0002971
73,1545.53,0.72949,0.48346,0.88734,0.90265,0.87073,0.90474,0.75564,0.5935,0.40602,0.62237,0.0002872,0.0002872,0.0002872
74,1568.14,0.7287,0.4527,0.90364,0.92078,0.86556,0.90671,0.75714,0.58367,0.44001,0.62349,0.0002773,0.0002773,0.0002773
75,1588.16,0.72274,0.466,0.87609,0.96097,0.8419,0.90307,0.77019,0.59915,0.40189,0.62615,0.0002674,0.0002674,0.0002674
76,1608.25,0.73819,0.48254,0.88526,0.98881,0.84075,0.90132,0.76317,0.58957,0.5108,0.6232,0.0002575,0.0002575,0.0002575
77,1628.33,0.71467,0.46215,0.87157,0.92855,0.86164,0.91429,0.76413,0.58819,0.40128,0.62191,0.0002476,0.0002476,0.0002476
78,1648.4,0.72359,0.45526,0.88371,0.95185,0.83639,0.90502,0.77393,0.58294,0.38033,0.62167,0.0002377,0.0002377,0.0002377
79,1669.47,0.68553,0.44828,0.86619,0.94607,0.83462,0.89204,0.75317,0.57193,0.40977,0.62489,0.0002278,0.0002278,0.0002278
80,1691.22,0.6952,0.43833,0.87064,0.92512,0.8595,0.89842,0.76045,0.56946,0.36801,0.62029,0.0002179,0.0002179,0.0002179
81,1712.95,0.70881,0.44847,0.8692,0.95589,0.88149,0.91663,0.76661,0.56872,0.37423,0.62074,0.000208,0.000208,0.000208
82,1733.45,0.70463,0.4349,0.85724,0.95565,0.87127,0.91437,0.77486,0.56371,0.33462,0.61566,0.0001981,0.0001981,0.0001981
83,1755.35,0.67198,0.43068,0.86903,0.91603,0.88938,0.90617,0.77305,0.57985,0.36593,0.61887,0.0001882,0.0001882,0.0001882
84,1776.98,0.67217,0.43406,0.87212,0.94077,0.85399,0.90802,0.79158,0.54834,0.35647,0.6133,0.0001783,0.0001783,0.0001783
85,1799.22,0.6822,0.42846,0.86992,0.9645,0.87996,0.92293,0.78503,0.54699,0.40141,0.61631,0.0001684,0.0001684,0.0001684
86,1822.13,0.70175,0.44131,0.87064,0.97063,0.86157,0.91761,0.78817,0.55165,0.36481,0.617,0.0001585,0.0001585,0.0001585
87,1845.04,0.69314,0.44699,0.87112,0.95992,0.86157,0.90277,0.78162,0.54491,0.33195,0.61704,0.0001486,0.0001486,0.0001486
88,1869.5,0.67342,0.44172,0.86165,0.97952,0.86544,0.91525,0.79224,0.54281,0.3515,0.61576,0.0001387,0.0001387,0.0001387
89,1891.61,0.67034,0.42141,0.87295,0.98474,0.8591,0.91417,0.78476,0.56037,0.33779,0.61473,0.0001288,0.0001288,0.0001288
90,1913.9,0.6195,0.42112,0.85199,0.99254,0.85338,0.9136,0.78916,0.55168,0.38493,0.61641,0.0001189,0.0001189,0.0001189
91,1951.89,0.65965,0.41477,0.84633,0.97546,0.86889,0.91463,0.78976,0.54718,0.35492,0.61283,0.000109,0.000109,0.000109
92,1971.83,0.65862,0.40511,0.85126,0.98515,0.86061,0.91722,0.78613,0.54999,0.33054,0.61185,9.91e-05,9.91e-05,9.91e-05
93,1991.77,0.62689,0.38801,0.83831,0.96087,0.86109,0.91526,0.78565,0.55755,0.33123,0.61124,8.92e-05,8.92e-05,8.92e-05
94,2011.77,0.62557,0.38726,0.84718,0.97931,0.86144,0.90959,0.79489,0.55268,0.33597,0.60921,7.93e-05,7.93e-05,7.93e-05
95,2032.12,0.6537,0.39912,0.8508,0.96697,0.86061,0.90197,0.78939,0.55182,0.3358,0.61149,6.94e-05,6.94e-05,6.94e-05
96,2053.11,0.63386,0.38637,0.84608,0.96812,0.86061,0.91739,0.79468,0.54091,0.32365,0.60985,5.95e-05,5.95e-05,5.95e-05
97,2075.99,0.61186,0.37693,0.83181,0.99504,0.85165,0.91507,0.79505,0.53974,0.31272,0.6103,4.96e-05,4.96e-05,4.96e-05
98,2099.68,0.61404,0.37455,0.82858,0.96269,0.87453,0.91336,0.80011,0.53514,0.31843,0.61021,3.97e-05,3.97e-05,3.97e-05
99,2121.65,0.60402,0.39464,0.83012,0.96278,0.87557,0.91375,0.80322,0.52853,0.3133,0.60859,2.98e-05,2.98e-05,2.98e-05
100,2144.36,0.60379,0.3776,0.82105,0.95074,0.87624,0.91667,0.8039,0.52825,0.31731,0.60871,1.99e-05,1.99e-05,1.99e-05
