epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5312,1.93246,1.95568,1.78406,0.61931,0.42481,0.31757,0.14303,1.71227,1.46465,1.32398,0.0005941,0.0005941,0.0005941
43,5519.74,2.07843,2.06081,1.82679,0.70289,0.45719,0.37229,0.17433,1.67425,1.41329,1.33667,0.0005842,0.0005842,0.0005842
44,5698.29,2.01901,1.99291,1.81893,0.73319,0.38215,0.37717,0.17319,1.81948,1.36161,1.36014,0.0005743,0.0005743,0.0005743
45,5881.02,2.06316,1.93309,1.77279,0.72683,0.4874,0.38265,0.15708,1.70109,1.68079,1.32714,0.0005644,0.0005644,0.0005644
46,6087.38,2.01567,2.07669,1.78435,0.72391,0.43996,0.35715,0.18803,1.68115,1.68568,1.3748,0.0005545,0.0005545,0.0005545
47,6270.55,2.07426,2.06763,1.79485,0.71247,0.45685,0.38656,0.1666,1.60682,1.3096,1.30825,0.0005446,0.0005446,0.0005446
48,6473.77,2.07741,2.02015,1.80258,0.74611,0.435,0.37408,0.16611,1.88407,1.27268,1.41754,0.0005347,0.0005347,0.0005347
49,6643.01,2.04834,2.00193,1.72799,0.70044,0.43329,0.3681,0.14037,1.94504,1.45078,1.52193,0.0005248,0.0005248,0.0005248
50,6762.83,2.04456,2.00704,1.77654,0.74219,0.42915,0.38883,0.16247,1.78284,1.14168,1.30546,0.0005149,0.0005149,0.0005149
51,6884.01,1.99193,1.95761,1.75088,0.72135,0.45034,0.39756,0.16446,1.67162,1.19973,1.25844,0.000505,0.000505,0.000505
52,7005.92,2.03403,1.90075,1.75367,0.71479,0.4532,0.37585,0.17831,1.75571,1.29345,1.37351,0.0004951,0.0004951,0.0004951
53,7127.36,1.96534,1.84216,1.69536,0.73946,0.45305,0.39259,0.18613,1.59677,1.29996,1.30447,0.0004852,0.0004852,0.0004852
54,7248.52,2.01671,1.90282,1.70343,0.76545,0.46494,0.40646,0.1833,1.68289,1.20224,1.31121,0.0004753,0.0004753,0.0004753
55,7370.2,1.9587,1.89161,1.71598,0.3946,0.42484,0.3837,0.15682,1.70148,1.38283,1.34121,0.0004654,0.0004654,0.0004654
56,7491.3,2.00701,1.88574,1.75183,0.35894,0.4282,0.41251,0.17751,1.59779,1.49173,1.28782,0.0004555,0.0004555,0.0004555
57,7612.7,1.98877,1.97013,1.71943,0.71981,0.42055,0.37595,0.19743,1.60263,1.36936,1.37394,0.0004456,0.0004456,0.0004456
58,7734.23,2.00599,1.89885,1.73213,0.73135,0.48092,0.4264,0.18922,1.62321,1.19269,1.30272,0.0004357,0.0004357,0.0004357
59,7855.82,1.95203,1.91632,1.7249,0.73009,0.46626,0.40211,0.16736,1.79216,1.92721,1.36831,0.0004258,0.0004258,0.0004258
60,7976.92,1.85103,1.72941,1.62185,0.74336,0.50926,0.41066,0.18593,1.72578,1.25331,1.31713,0.0004159,0.0004159,0.0004159
61,8098.33,1.91055,1.89421,1.68337,0.73777,0.43407,0.39511,0.16831,1.80059,1.50778,1.38274,0.000406,0.000406,0.000406
62,8220.03,1.92707,1.84837,1.71832,0.42137,0.49061,0.42609,0.17795,1.77844,1.17791,1.37174,0.0003961,0.0003961,0.0003961
63,8341.31,1.9989,1.89116,1.70004,0.41803,0.4441,0.39997,0.18109,1.55872,1.28555,1.30409,0.0003862,0.0003862,0.0003862
64,8474.15,1.99801,1.94126,1.72588,0.75419,0.44807,0.3961,0.17466,1.86823,1.19271,1.39897,0.0003763,0.0003763,0.0003763
65,8677.85,1.89975,1.8611,1.69728,0.76798,0.4581,0.41276,0.20694,1.6071,1.25793,1.27215,0.0003664,0.0003664,0.0003664
66,8859.34,1.91949,1.80965,1.72949,0.42571,0.51973,0.42272,0.20006,1.59335,1.22622,1.26636,0.0003565,0.0003565,0.0003565
67,9064.62,1.96987,1.77691,1.72779,0.78134,0.46792,0.41705,0.19883,1.6314,1.16553,1.26443,0.0003466,0.0003466,0.0003466
68,9247.17,1.90185,1.86037,1.71908,0.75033,0.48265,0.4205,0.19633,1.58248,1.17102,1.27403,0.0003367,0.0003367,0.0003367
69,9453.39,1.93102,1.79124,1.64378,0.76415,0.45517,0.41716,0.1783,1.72904,1.22467,1.30437,0.0003268,0.0003268,0.0003268
70,9635.74,1.85704,1.72577,1.64597,0.77558,0.50002,0.44162,0.17259,1.7835,1.29387,1.28323,0.0003169,0.0003169,0.0003169
71,9814.72,1.8567,1.7922,1.64375,0.7848,0.48998,0.4648,0.21057,1.63937,1.22152,1.25751,0.000307,0.000307,0.000307
72,10023.2,1.87799,1.70547,1.61233,0.75091,0.5056,0.42989,0.18824,1.57356,1.16004,1.30756,0.0002971,0.0002971,0.0002971
73,10204.6,1.90594,1.81332,1.66452,0.8344,0.45923,0.49568,0.19805,1.67824,1.18688,1.27442,0.0002872,0.0002872,0.0002872
74,10413,1.94583,1.89485,1.71284,0.78515,0.41482,0.42982,0.19752,1.48401,1.1176,1.23538,0.0002773,0.0002773,0.0002773
75,10595,1.87558,1.80071,1.61195,0.77405,0.46734,0.42766,0.20425,1.54039,1.14324,1.25167,0.0002674,0.0002674,0.0002674
76,10725.1,1.86126,1.74494,1.65212,0.74266,0.44302,0.42116,0.20595,1.55674,1.13977,1.31402,0.0002575,0.0002575,0.0002575
77,10845.8,1.80219,1.65417,1.63966,0.76679,0.45863,0.4198,0.20346,1.58184,1.33795,1.26662,0.0002476,0.0002476,0.0002476
78,10967,1.91981,1.80245,1.66622,0.77711,0.4793,0.44894,0.19382,1.81891,1.40184,1.3441,0.0002377,0.0002377,0.0002377
79,11088.4,1.82373,1.71116,1.6093,0.77056,0.47519,0.45803,0.19976,1.6602,1.10709,1.28054,0.0002278,0.0002278,0.0002278
80,11209.5,1.84486,1.69553,1.65293,0.80905,0.49586,0.50023,0.23717,1.46021,1.187,1.21505,0.0002179,0.0002179,0.0002179
81,11330.7,1.78249,1.71129,1.62004,0.4061,0.50024,0.43442,0.21823,1.48882,1.13131,1.27628,0.000208,0.000208,0.000208
82,11449.2,1.79569,1.65026,1.61796,0.75816,0.50628,0.44664,0.21387,1.61447,1.25784,1.26843,0.0001981,0.0001981,0.0001981
83,11570.3,1.81455,1.65955,1.63624,0.78093,0.51404,0.47311,0.20674,1.65368,1.26049,1.25938,0.0001882,0.0001882,0.0001882
84,11691.8,1.86684,1.71462,1.57947,0.45436,0.48457,0.4524,0.20014,1.62928,1.12718,1.24269,0.0001783,0.0001783,0.0001783
