epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.9411,0,111.958,0,0,0,0,0,0,21.3262,0,0.000328502,0.000328502,0.000328502
2,41.4388,0,90.7433,0,0,0,0,0,0,1.15061,0,0.000655284,0.000655284,0.000655284
3,60.3156,0,75.3301,0,0,0,0,0,0,0,0,0.000975465,0.000975465,0.000975465
4,78.2267,0,57.738,0,0,0,0,0,0,0.00123,0,0.0009703,0.0009703,0.0009703
5,96.6361,0,41.9002,0,0,0,0,0,0,0.50818,0,0.0009604,0.0009604,0.0009604
6,112.516,0,28.9861,0,0,0,0,0,0,0,0,0.0009505,0.0009505,0.0009505
7,130.383,0,19.2233,0,0,0,0,0,0,0,0,0.0009406,0.0009406,0.0009406
8,148.537,0,12.1916,0,0,0,0,0,0,0,0,0.0009307,0.0009307,0.0009307
9,170.838,0,7.4369,0,0,0,0,0,0,0,0,0.0009208,0.0009208,0.0009208
10,192.933,0,4.40163,0,0,0,0,0,0,0,0,0.0009109,0.0009109,0.0009109
11,217.329,0,2.5303,0,0,0,0,0,0,36.348,0,0.000901,0.000901,0.000901
12,234.541,0,1.4277,0,0,0,0,0,0,0,0,0.0008911,0.0008911,0.0008911
13,256.01,0,0.80418,0,0,0,0,0,0,0,0,0.0008812,0.0008812,0.0008812
14,276.836,0,0.41017,0,0,0,0,0,0,0,0,0.0008713,0.0008713,0.0008713
